Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1990","1990","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1991","1991","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1992","1992","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1993","1993","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1994","1994","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1995","1995","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1996","1996","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1997","1997","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1998","1998","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","1999","1999","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2000","2000","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2001","2001","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2002","2002","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2003","2003","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2004","2004","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2005","2005","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2006","2006","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2007","2007","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2008","2008","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2009","2009","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2010","2010","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2011","2011","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2012","2012","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2013","2013","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2014","2014","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2015","2015","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2016","2016","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2017","2017","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2018","2018","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2019","2019","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2021","2021","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2022","2022","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2023","2023","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1990","1990","1000 ha","127565","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1991","1991","1000 ha","127660","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1992","1992","1000 ha","127755","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1993","1993","1000 ha","127850","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1994","1994","1000 ha","127948","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1995","1995","1000 ha","128045","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1996","1996","1000 ha","128142","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1997","1997","1000 ha","128235","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1998","1998","1000 ha","128330","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","1999","1999","1000 ha","128412","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2000","2000","1000 ha","128510","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2001","2001","1000 ha","128606","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2002","2002","1000 ha","128710","A","Official figure",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2003","2003","1000 ha","129103.3","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2004","2004","1000 ha","129496.6","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2005","2005","1000 ha","129920.9","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2006","2006","1000 ha","130138.9","I","Value imputed by a receiving agency",""
