Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1990","1990","1000 ha","704","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1991","1991","1000 ha","703","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1992","1992","1000 ha","703","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1993","1993","1000 ha","702","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1994","1994","1000 ha","702","I","Value imputed by a receiving agency",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1995","1995","1000 ha","702","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1996","1996","1000 ha","702","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1997","1997","1000 ha","700","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1998","1998","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","1999","1999","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2000","2000","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2001","2001","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2002","2002","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2003","2003","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2004","2004","1000 ha","699","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2005","2005","1000 ha","659","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2006","2006","1000 ha","705","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2007","2007","1000 ha","698","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2008","2008","1000 ha","697","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2009","2009","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2010","2010","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2011","2011","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2012","2012","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2013","2013","1000 ha","696.3","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2014","2014","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2015","2015","1000 ha","696.1","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2016","2016","1000 ha","703.5","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2017","2017","1000 ha","696.2","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2018","2018","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2019","2019","1000 ha","696","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2020","2020","1000 ha","687.555","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2021","2021","1000 ha","687.53","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2022","2022","1000 ha","686.4","A","Official figure",""
"RL","Land Use","008","Albania","5110","Area","6620","Cropland","2023","2023","1000 ha","678.5","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1990","1990","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1991","1991","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1992","1992","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1993","1993","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1994","1994","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1995","1995","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1996","1996","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1997","1997","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1998","1998","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","1999","1999","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2000","2000","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2001","2001","1000 ha","0.75","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2002","2002","1000 ha","0.85","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2003","2003","1000 ha","0.86","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2004","2004","1000 ha","0.81","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2005","2005","1000 ha","0.8","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2006","2006","1000 ha","0.78","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2007","2007","1000 ha","0.77","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2008","2008","1000 ha","0.76","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2009","2009","1000 ha","0.77","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2010","2010","1000 ha","0.77","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2011","2011","1000 ha","0.77","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2012","2012","1000 ha","0.76","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2013","2013","1000 ha","0.81","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2014","2014","1000 ha","0.8","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2015","2015","1000 ha","0.81","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2016","2016","1000 ha","0.82","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2017","2017","1000 ha","0.82","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2018","2018","1000 ha","0.834","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2019","2019","1000 ha","0.8001","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2020","2020","1000 ha","0.7773","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2021","2021","1000 ha","0.7562","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2022","2022","1000 ha","0.7562","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2023","2023","1000 ha","0.7408","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","1990","1990","1000 ha","1505","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","1991","1991","1000 ha","1524","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","1992","1992","1000 ha","1506","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","1993","1993","1000 ha","1498","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","1994","1994","1000 ha","1499","A","Official figure",""
